name,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,Dimensionality,MajorityClassPercentage,MajorityClassSize,NumberOfBinaryFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,DefaultAccuracy,PercentageOfMissingValues,MeanKurtosisOfNumericAtts,MeanSkewnessOfNumericAtts,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,NoiseToSignalRatio,EquivalentNumberOfAtts,MeanAttributeEntropy,MeanMutualInformation,ClassEntropy,NaiveBayesErrRate,Dif_NB_Err_Rate,NaiveBayesKappa,Dif_NB_kappa,NaiveBayesAUC,Dif_NB_AUC,DecisionStumpErrRate,Dif_DS_Err_Rate,DecisionStumpKappa,Dif_DS_Kappa,DecisionStumpAUC,Dif_DS_AUC,kNN1NErrRate,Dif_KNN_Err_Rate,kNN1NKappa,Dif_KNN_kappa,kNN1NAUC,Dif_KNN_AUC
analcatdata_halloffame.arff,1340,18,20,15,3,0.013432836,90.67164179,1215,1,20,1.492537313,0.906716418,0.08291874,30.17686419,0.91340799,-14572.8231,9782.67213,237.5901796,44.00022991,2.425668853,0.010166675,0.447336044,0.120149254,0.018656717,0.497226754,-0.05890253,0.948478595,-0.004353799,0.07761194,0,0.58845938,0,0.840072428,0,0.063432836,-0.008208955,0.606671731,0.042695186,0.789185185,0.015292181
analcatdata_japansolvent.arff,52,10,0,8,2,0.192307692,51.92307692,27,1,0,0,0.519230769,0,159.3847534,6.618740435,12.84183091,3.615513684,0,0,-1,0,0.998932655,0.230769231,0.038461539,0.532233883,-0.085974634,0.930014245,0.121125356,0.192307692,0,0.618208517,0,0.808888889,0,0.288461538,0.096153846,0.414414414,-0.203794103,0.704444444,-0.104444445
analcatdata_lawsuit.arff,264,5,0,3,2,0.018939394,92.8030303,245,2,0,0,0.928030303,0,186.0018559,7.75149423,1.411063434,1.147092199,21.70978735,8.934587544,0.948673807,0.041773786,0.373231552,0.037878788,0.026515152,0.729563614,-0.187382695,0.989044039,0.032223416,0.041666667,0.030303031,0.744005642,-0.172940667,0.938560687,-0.018259936,0.018939394,0.007575758,0.861577181,-0.055369128,0.941245972,-0.015574651
analcatdata_marketing.arff,364,33,80,0,33,0.090659341,68.40659341,249,1,36,9.89010989,0.684065934,0.666000666,0,0,0,0,224.6912492,106.7675078,1.902270484,0.008428641,0.899904978,0.403846154,0.087912088,0.012548904,0.012548904,0.486746988,-0.010075083,0.315934066,0,0.012642702,0.012642702,0.531796752,0.034974681,0.461538462,0.145604396,-0.002130379,-0.002130379,0.491286887,-0.005535184
analcatdata_michiganacc.arff,108,5,0,2,3,0.046296296,55.55555556,60,1,0,0,0.555555556,0,65.94690894,1.735401246,-68952.07848,11740.00852,21.83520243,8.104413394,2.79248125,0.122288439,0.99107606,0.231481481,-0.101851852,0.532224532,0.196158958,0.766145833,0.084548611,0.287037037,-0.046296296,0.412631579,0.076566005,0.743055556,0.061458334,0.296296296,-0.037037037,0.409836066,0.073770492,0.714583333,0.032986111
analcatdata_neavote.arff,100,4,0,1,3,0.04,93,93,1,0,0,0.93,0,43.9920673,1.167370807,-22391.42964,13737.93228,41.62913699,14.64856588,1.064883045,0.024980169,0.365923651,0.24,0.17,-0.028277635,-0.028277635,0.578640553,0.117043011,0.07,0,0,0,0.571428571,0.109831029,0.13,0.06,-0.069078947,-0.069078947,0.641321045,0.179723503
analcatdata_negotiation.arff,92,6,26,4,2,0.065217391,71.73913043,66,2,17,18.47826087,0.717391304,4.710144928,37.24290654,1.020915837,-18895.84007,11608.28018,125.4404223,108.9444162,0.996929708,0.007884581,0.858981037,0.141304348,-0.065217391,0.64740566,0.162735849,0.912878788,0.113636364,0.184782609,-0.02173913,0.587552743,0.102882932,0.792249417,-0.006993007,0.239130435,0.032608696,0.436525612,-0.048144199,0.728438228,-0.070804196
analcatdata_olympic2000.arff,66,13,0,11,2,0.196969697,50,33,1,0,0,0.5,0,76.10466126,1.91137212,-82679.56242,13070.33398,0,0,-1,0,1,0.196969697,0.166666667,0.606060606,-0.333333333,0.938475666,-0.031221304,0,-0.03030303,1,0.060606061,1,0.03030303,0.257575758,0.227272728,0.484848485,-0.454545454,0.742424242,-0.227272728
analcatdata_reviewer.arff,379,9,1368,0,9,0.023746702,56.99208443,216,1,367,96.83377309,0.569920844,40.1055409,0,0,0,0,66.60654957,56.82000244,1.172997626,0.017350355,0.985847205,0.35883905,-0.023746702,0.249941793,0.105738725,0.659139968,0.078788911,0.414248021,0.031662269,0.064109218,-0.08009385,0.536497387,-0.04385367,0.37994723,-0.002638522,0.217884781,0.073681713,0.617743127,0.03739207
analcatdata_runshoes.arff,60,11,14,4,7,0.183333333,60,36,6,14,23.33333333,0.6,2.121212121,39.4611491,1.171095467,-36864.27218,6760.064384,18.4723043,22.16276694,0.853081453,0.04380999,0.970950594,0.3,-0.083333333,0.375,0.226851852,0.759837963,0.152777778,0.35,-0.033333333,0.295302013,0.147153865,0.680555556,0.073495371,0.433333333,0.05,0.121621622,-0.026526526,0.5625,-0.044560185
analcatdata_seropositive.arff,132,4,0,2,2,0.03030303,65.15151515,86,1,0,0,0.651515152,0,34.14751031,0.9573478,-17284.54869,10620.96187,5.544282169,3.851133257,1.584962501,0.242190428,0.932707613,0.068181818,0,0.847535934,-0.001549432,0.965874621,0.05182002,0.121212121,0.053030303,0.71273123,-0.136354136,0.831142568,-0.082912033,0.022727273,-0.045454545,0.950201207,0.101115841,0.977628918,0.063574317
analcatdata_supreme.arff,4052,8,0,7,1,0.001974334,76.03652517,3081,1,0,0,0.760365252,0,70.65018475,3.157444629,121.7638567,51.28715228,0,0,-1,0,0.794432351,0.030848963,0.023938795,0.916958392,-0.063904034,0.986116967,0.001033814,0.006910168,0,0.980862426,0,0.985083153,0,0.014807502,0.007897334,0.95913635,-0.021726076,0.994587437,0.009504284
analcatdata_uktrainacc.arff,31,17,150,16,1,0.548387097,87.09677419,27,1,25,80.64516129,0.870967742,28.4629981,75.07908869,1.899955138,-81544.77788,12891.02462,0,0,-1,0,0.554778163,0.258064516,0.129032258,0.053435115,-0.372490811,0.591845878,-0.232228196,0.064516129,-0.064516129,0.712962963,0.287037037,0.847222222,0.023148148,0.129032258,0,0,-0.425925926,0.490740741,-0.333333333
analcatdata_vehicle.arff,48,5,0,0,5,0.104166667,56.25,27,4,0,0,0.5625,0,0,0,0,0,9.52972201,7.456257706,1.396240625,0.132599951,0.988699408,0.1875,0.041666667,0.625,-0.083333333,0.860670194,0.020282187,0.145833333,0,0.708333333,0,0.840388007,0,0.166666667,0.020833334,0.657754011,-0.050579322,0.905643739,0.065255732
analcatdata_vineyard.arff,468,4,0,2,2,0.008547009,55.55555556,260,1,0,0,0.555555556,0,74.04595962,3.276431766,124.5733319,53.82391226,8.723678371,3.040105,3.169925001,0.326000602,0.99107606,0.215811966,0.083333334,0.561505065,-0.171509289,0.87335429,-0.013313609,0.401709402,0.26923077,0.200378072,-0.532636282,0.642529586,-0.244138313,0.158119658,0.025641026,0.677637948,-0.055376406,0.840930104,-0.045737795
analcatdata_wildcat.arff,163,6,0,3,3,0.036809816,71.16564417,116,3,0,0,0.711656442,0,88.35779064,2.061614385,-97413.2386,13363.56153,9.383520083,9.290890128,0.968482726,0.093271137,0.866571888,0.26993865,-0.049079755,0.366319138,0.185098118,0.807685253,0.182960381,0.319018405,0,0.18122102,0,0.717993397,0.093268525,0.245398773,-0.073619632,0.402054292,0.220833272,0.710473221,0.085748349
anneal.arff,898,39,22175,6,33,0.043429844,76.16926503,684,5,898,100,0.76169265,63.31734338,28.43296784,0.916324709,-12554.85397,8495.59187,13.15784056,44.59035099,0.25153516,0.017766492,0.792214112,0.224944321,0.095768374,0.458603441,-0.194484426,0.848527081,-0.065294174,0.144766147,0.0155902,0.619556007,-0.03353186,0.865421927,-0.048399328,0.057906459,-0.071269488,0.828959899,0.175872032,0.880038394,-0.033782861
AP_Breast_Kidney.arff,604,10937,0,10936,1,18.10761589,56.95364238,344,1,0,0,0.569536424,0,28.08237799,3.150020061,3384.87195,1882.157387,0,0,-1,0,0.986002907,0.028145695,-0.013245033,0.942463297,0.027235703,0.970125224,0.014445439,0.039735099,-0.001655629,0.918886253,0.003658659,0.95394678,-0.001733005,0.044701987,0.003311259,0.908186015,-0.007041579,0.950894454,-0.004785331
AP_Breast_Omentum.arff,421,10937,0,10936,1,25.97862233,81.71021378,344,1,0,0,0.817102138,0,28.29623877,3.305241757,3394.282354,1822.527714,0,0,-1,0,0.686375617,0.045130641,-0.021377673,0.846689027,0.06267349,0.916943522,0.00947599,0.045130641,-0.021377673,0.841832598,0.057817061,0.889629266,-0.017838266,0.080760095,0.014251781,0.735141736,-0.048873801,0.876547871,-0.030919661
AP_Breast_Prostate.arff,413,10937,0,10936,1,26.48184019,83.29297821,344,1,0,0,0.832929782,0,25.84049094,3.165615399,3382.240147,1836.851965,0,0,-1,0,0.650958593,0.007263923,-0.002421307,0.973438806,0.008646171,0.97826087,0.005034547,0.012106538,0.002421308,0.956247219,-0.008545416,0.971751769,-0.001474554,0.007263923,-0.002421307,0.973438806,0.008646171,0.967391304,-0.005835019
AP_Colon_Kidney.arff,546,10937,0,10936,1,20.03113553,52.38095238,286,1,0,0,0.523809524,0,25.93499304,2.895495157,3409.881472,1838.525596,0,0,-1,0,0.998363673,0.021978022,-0.021978022,0.955959455,0.043948282,0.978146853,0.02943787,0.042124542,-0.001831502,0.91551513,0.003503957,0.95708042,0.008371437,0.021978022,-0.021978022,0.955928646,0.043917473,0.977797203,0.02908822
AP_Colon_Omentum.arff,363,10937,0,10936,1,30.12947658,78.78787879,286,1,0,0,0.787878788,0,22.57206622,2.749832729,3517.887497,1694.698752,0,0,-1,0,0.745517843,0.074380165,-0.024793389,0.790402258,0.095800716,0.91958042,0.087639634,0.090909091,-0.008264463,0.74151436,0.046912818,0.90984016,0.077899374,0.074380165,-0.024793389,0.769826918,0.075225376,0.855780583,0.023839797
AP_Colon_Ovary.arff,484,10937,0,10936,1,22.59710744,59.09090909,286,1,0,0,0.590909091,0,25.43811132,2.973708107,3408.193322,1868.093717,0,0,-1,0,0.976020648,0.068181818,0.006198347,0.859953704,-0.012238395,0.932983683,-0.011001625,0.07231405,0.010330579,0.851466049,-0.02072605,0.9249223,-0.019063008,0.123966942,0.061983471,0.736632083,-0.135560016,0.858585859,-0.085399449
AP_Colon_Prostate.arff,355,10937,0,10936,1,30.8084507,80.56338028,286,1,0,0,0.805633803,0,17.02796758,2.379998693,3501.879963,1693.590846,0,0,-1,0,0.71051637,0.014084507,-0.002816901,0.954778222,0.009346035,0.974764366,0.007246377,0.01971831,0.002816902,0.938059274,-0.007372913,0.967365967,-0.000152022,0.01971831,0.002816902,0.937381882,-0.008050305,0.965845748,-0.001672241
AP_Endometrium_Breast.arff,405,10937,0,10936,1,27.00493827,84.9382716,344,1,0,0,0.849382716,0,27.66440222,3.298202784,3389.628635,1819.678369,0,0,-1,0,0.611382905,0.027160494,0.007407408,0.888588791,-0.034209532,0.923322531,-0.036956729,0.064197531,0.044444445,0.742139289,-0.180659034,0.853007053,-0.107272207,0.02962963,0.009876544,0.880987364,-0.041810959,0.928564621,-0.031714639
AP_Endometrium_Lung.arff,187,10937,0,10936,1,58.48663102,67.37967914,126,1,0,0,0.673796791,0,16.08529489,2.671162368,3390.854697,1849.118481,0,0,-1,0,0.911000086,0.069518717,-0.005347593,0.837031575,0.007341229,0.906128025,-0.013531095,0.090909091,0.016042781,0.795785957,-0.033904389,0.929677335,0.010018215,0.048128342,-0.026737968,0.89278206,0.063091714,0.957845433,0.038186313
AP_Endometrium_Prostate.arff,130,10937,0,10936,1,84.13076923,53.07692308,69,1,0,0,0.530769231,0,86.17011504,5.952135016,2275.205596,1249.792591,0,0,-1,0,0.997266543,0.015384615,0,0.969113804,0,0.984556902,0,0.007692308,-0.007692307,0.984571564,0.01545776,0.992753623,0.008196721,0.015384615,0,0.969113804,0,0.984556902,0
AP_Lung_Uterus.arff,250,10937,0,10936,1,43.748,50.4,126,1,0,0,0.504,0,23.6063548,3.079575118,3392.294771,1843.397485,0,0,-1,0,0.999953833,0.088,0.008,0.823943662,-0.016107522,0.911866359,-0.008320533,0.064,-0.016,0.872106407,0.032055223,0.922907066,0.002720174,0.076,-0.004,0.848,0.007948816,0.924027138,0.003840246
AP_Omentum_Kidney.arff,337,10937,0,10936,1,32.45400593,77.15133531,260,1,0,0,0.771513353,0,29.48564748,3.133689538,6481.3779,8082.085489,0,0,-1,0,0.775363846,0.026706231,-0.005934719,0.926599066,0.020468555,0.978121878,0.033341658,0.047477745,0.014836795,0.873433172,-0.032697339,0.969030969,0.024250749,0.029673591,-0.002967359,0.91505772,0.008927209,0.951373626,0.006593406
AP_Omentum_Lung.arff,203,10937,0,10936,1,53.87684729,62.06896552,126,1,0,0,0.620689655,0,30.18436615,3.286499345,3322.374328,1911.273136,0,0,-1,0,0.957553484,0.103448276,-0.019704433,0.779746835,0.047373265,0.891156463,0.031076067,0.137931034,0.014778325,0.702564103,-0.029809467,0.869975263,0.009894867,0.108374384,-0.014778325,0.772142857,0.039769287,0.884405277,0.024324881
AP_Omentum_Ovary.arff,275,10937,0,10936,1,39.77090909,72,198,1,0,0,0.72,0,23.59799695,3.099936619,3469.101653,2095.756067,0,0,-1,0,0.855450811,0.250909091,0,0.375226367,0.010117791,0.690657222,0.003329398,0.225454545,-0.025454546,0.481951872,0.116843296,0.798340548,0.111012724,0.309090909,0.058181818,0.331550802,-0.033557774,0.706972321,0.019644497
AP_Omentum_Uterus.arff,201,10937,0,10936,1,54.41293532,61.69154229,124,1,0,0,0.616915423,0,97.98747285,6.549236236,2106.424728,1195.979108,0,0,-1,0,0.960191462,0.109452736,-0.069651742,0.769567483,0.146638874,0.886290166,0.08266637,0.164179104,-0.014925374,0.655195717,0.032267108,0.793202765,-0.010421031,0.15920398,-0.019900498,0.656410256,0.033481647,0.848973607,0.045349811
AP_Ovary_Uterus.arff,322,10937,0,10936,1,33.96583851,61.49068323,198,1,0,0,0.614906832,0,24.5908113,3.146127524,3460.215614,2077.440176,0,0,-1,0,0.96155988,0.167701863,-0.059006212,0.639372822,0.126140269,0.818048371,0.042429277,0.170807453,-0.055900622,0.640960143,0.12772759,0.820136852,0.044517758,0.254658385,0.02795031,0.491409199,-0.021823354,0.759775171,-0.015843923
AP_Prostate_Kidney.arff,329,10937,0,10936,1,33.24316109,79.02735562,260,1,0,0,0.790273556,0,19.81837286,2.716795603,3306.852549,1776.793447,0,0,-1,0,0.740959522,0.009118541,-0.021276596,0.972045204,0.060901683,0.97826087,0.008138239,0.018237082,-0.012158055,0.945562848,0.034419327,0.977814939,0.007692308,0.024316109,-0.006079028,0.927417131,0.01627361,0.973160535,0.003037904
AP_Prostate_Uterus.arff,193,10937,0,10936,1,56.66839378,64.24870466,124,1,0,0,0.642487047,0,21.47030124,2.898903096,3385.601793,1781.828256,0,0,-1,0,0.940599369,0.020725389,0,0.954297892,-0.000875723,0.971014493,-0.009642356,0.025906736,0.005181347,0.942685752,-0.012487863,0.963768116,-0.016888733,0.005181347,-0.015544042,0.9887575,0.033583885,0.993922394,0.013265545
AP_Uterus_Kidney.arff,384,10937,0,10936,1,28.48177083,67.70833333,260,1,0,0,0.677083333,0,61.52723302,5.353405869,2456.270578,1431.508285,0,0,-1,0,0.907525069,0.026041667,-0.036458333,0.940944882,0.086952487,0.974441687,0.05412531,0.036458333,-0.026041667,0.918683446,0.064691051,0.97182072,0.051504343,0.036458333,-0.026041667,0.91662531,0.062632915,0.958312655,0.037996278
ar1.arff,121,30,0,29,1,0.247933884,92.56198347,112,1,0,0,0.925619835,0,82.01841651,3.217016564,-5342.493914,5617.353474,0,0,-1,0,0.382060954,0.247933884,0.157024793,0.109421001,0.137220229,0.684212252,0.197109077,0.090909091,0,-0.027799228,0,0.596230159,0.109126984,0.099173554,0.008264463,0.279761905,0.307561133,0.755952381,0.268849206
